COD_UNICO_EMP;EMPR_NOME_FAN;Origem;Descricao;CFOP;CME;Serie;C.Custo;Conta Gerencial;Servicos;Oper.Trib.ICMS;Oper.Trib.ICMS-ST;Oper.Trib.IPI;Oper.Trib.PIS/COFINS;Perc.Desconto;CEBF
U01001;ADEX;138;SAIDA DE TRANSFERÊNCIA                                      ;5151;220;      ;1000;00.00.000;NAO;S;n;N;n;0;          
U01001;ADEX;139;OUTRAS SAIDAS NAO MOV                                       ;5949;300;      ;1000;00.00.000;NAO;n;N;N;n;0;PR810171  
U01001;ADEX;140;DEVOLUÇÃO COMPRA P/COMERCIALIZ                              ;5202;240;      ;1;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;141;DEVOLUCAO COMPRA P/INDUSTRIAL.                              ;5201;240;      ;1000;00.00.000;NAO;S;S;S;S;0;PR820020  
U01001;ADEX;142;DEVOLUÇÃO COMPRA USO/CONSUMO                                ;5556;300;      ;1000;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;143;DEVOLUÇÃO COMPRA IMOBILIZADO                                ;5553;300;NE    ;1000;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;144;DEVOLUÇÃO DE COMODATO                                       ;5909;300;      ;1;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;145;TRANSFERENCIA ATIVO IMOBILIZADO                             ;5552;300;      ;1000;00.00.000;NAO;n;N;N;n;0;PR800014  
U01001;ADEX;146;VENDA ESPECIAL  IPI COMPL                                   ;5101;300;VE    ;1000;00.00.000;NAO;n;N;N;n;0;PR800018  
U01001;ADEX;147;SAIDA DE TRANSFERÊNCIA                                      ;5151;300;      ;1000;00.00.000;NAO;S;S;N;S;0;          
U01001;ADEX;148;DEVOLUCAO DE VASILHAME OU SACARIA                           ;5921;300;      ;1000;11.01.003;NAO;S;S;S;S;0;PR810171  
U01001;ADEX;149;VENDA DE PROD ENTREGUE AO DESTINATARIO                      ;5118;210;      ;      ;00.00.000;NAO;S;S;S;S;0;PR809999  
